"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0045576","mast cell activation","3/60","67/18903",0.00126057487702621,0.00567258694661795,0.00348061565235578,"IL4R/IL13RA2/CD226",3
"GO:0018108","peptidyl-tyrosine phosphorylation","6/60","380/18903",0.00127204821961412,0.00570228512240811,0.00349883801482891,"JAK3/SOCS3/THY1/PTPRC/MATK/ITK",6
"GO:0018212","peptidyl-tyrosine modification","6/60","382/18903",0.00130662732272358,0.00583493880758239,0.0035802323587685,"JAK3/SOCS3/THY1/PTPRC/MATK/ITK",6
"GO:0002827","positive regulation of T-helper 1 type immune response","2/60","18/18903",0.00146706564536683,0.00647723322671392,0.00397433473739891,"IL12RB1/SLAMF1",2
"GO:0002830","positive regulation of type 2 immune response","2/60","18/18903",0.00146706564536683,0.00647723322671392,0.00397433473739891,"IL4R/IDO1",2
"GO:0045623","negative regulation of T-helper cell differentiation","2/60","18/18903",0.00146706564536683,0.00647723322671392,0.00397433473739891,"IL4R/JAK3",2
"GO:0050900","leukocyte migration","6/60","398/18903",0.00160989076759272,0.00708109848903566,0.00434485755242674,"SELL/GPR183/THY1/ITGAL/SLAMF1/CSF3R",6
"GO:0002923","regulation of humoral immune response mediated by circulating immunoglobulin","2/60","19/18903",0.00163631895582824,0.00717038643565183,0.00439964331904143,"PTPRC/CR1",2
"GO:0045123","cellular extravasation","3/60","74/18903",0.0016791572539052,0.00733064920548166,0.00449797818995816,"SELL/THY1/ITGAL",3
"GO:0031348","negative regulation of defense response","5/60","272/18903",0.00170282896204245,0.00740635645200617,0.00454443103937761,"SOCS3/SERPINB9/IL2RA/PTPRC/CR1",5
"GO:0033005","positive regulation of mast cell activation","2/60","21/18903",0.00200133227956492,0.00860867193783439,0.00528215408151422,"IL4R/CD226",2
"GO:0045063","T-helper 1 cell differentiation","2/60","21/18903",0.00200133227956492,0.00860867193783439,0.00528215408151422,"IL4R/JAK3",2
"GO:1901739","regulation of myoblast fusion","2/60","21/18903",0.00200133227956492,0.00860867193783439,0.00528215408151422,"IL4R/CD53",2
"GO:0002720","positive regulation of cytokine production involved in immune response","3/60","79/18903",0.00202553596371492,0.00864918641440313,0.00530701316655235,"SASH3/SLAMF1/CD226",3
"GO:0043299","leukocyte degranulation","3/60","79/18903",0.00202553596371492,0.00864918641440313,0.00530701316655235,"IL4R/FCGR3A/IL13RA2",3
"GO:0043371","negative regulation of CD4-positive, alpha-beta T cell differentiation","2/60","22/18903",0.00219698051563335,0.00934715346651279,0.00573527545133758,"IL4R/JAK3",2
"GO:0045591","positive regulation of regulatory T cell differentiation","2/60","23/18903",0.00240131570884939,0.0101427414417104,0.0062234364941489,"IL4I1/CR1",2
"GO:0045624","positive regulation of T-helper cell differentiation","2/60","23/18903",0.00240131570884939,0.0101427414417104,0.0062234364941489,"IL4R/IL12RB1",2
"GO:0002922","positive regulation of humoral immune response","2/60","24/18903",0.00261428260781506,0.010963120613418,0.00672680904934869,"PTPRC/CR1",2
"GO:0060143","positive regulation of syncytium formation by plasma membrane fusion","2/60","24/18903",0.00261428260781506,0.010963120613418,0.00672680904934869,"IL4R/CD53",2
"GO:0001779","natural killer cell differentiation","2/60","25/18903",0.00283582621419249,0.0117240871752835,0.00719372690377266,"SLAMF1/PTPRC",2
"GO:0019835","cytolysis","2/60","25/18903",0.00283582621419249,0.0117240871752835,0.00719372690377266,"GZMB/CR1",2
"GO:0031579","membrane raft organization","2/60","25/18903",0.00283582621419249,0.0117240871752835,0.00719372690377266,"PTPRC/CD2",2
"GO:0050860","negative regulation of T cell receptor signaling pathway","2/60","25/18903",0.00283582621419249,0.0117240871752835,0.00719372690377266,"THY1/SH2D1A",2
"GO:0002438","acute inflammatory response to antigenic stimulus","2/60","26/18903",0.00306589178169741,0.0124985832215539,0.0076689462502022,"FCGR3A/CD6",2
"GO:0002726","positive regulation of T cell cytokine production","2/60","26/18903",0.00306589178169741,0.0124985832215539,0.0076689462502022,"SASH3/SLAMF1",2
"GO:0009435","NAD biosynthetic process","2/60","26/18903",0.00306589178169741,0.0124985832215539,0.0076689462502022,"KYNU/IDO1",2
"GO:0046639","negative regulation of alpha-beta T cell differentiation","2/60","26/18903",0.00306589178169741,0.0124985832215539,0.0076689462502022,"IL4R/JAK3",2
"GO:0002407","dendritic cell chemotaxis","2/60","27/18903",0.00330442481509624,0.0133316449436641,0.00818010063120013,"GPR183/SLAMF1",2
"GO:0042537","benzene-containing compound metabolic process","2/60","27/18903",0.00330442481509624,0.0133316449436641,0.00818010063120013,"KYNU/IDO1",2
"GO:0045954","positive regulation of natural killer cell mediated cytotoxicity","2/60","27/18903",0.00330442481509624,0.0133316449436641,0.00818010063120013,"SH2D1A/CD226",2
"GO:1901606","alpha-amino acid catabolic process","3/60","95/18903",0.0034203906459002,0.013752086102073,0.00843807712245952,"KYNU/IL4I1/IDO1",3
"GO:0002275","myeloid cell activation involved in immune response","3/60","96/18903",0.0035228231504933,0.0140375140235549,0.00861321148363869,"IL4R/SLAMF1/IL13RA2",3
"GO:0019359","nicotinamide nucleotide biosynthetic process","2/60","28/18903",0.00355137106920704,0.0140375140235549,0.00861321148363869,"KYNU/IDO1",2
"GO:0019363","pyridine nucleotide biosynthetic process","2/60","28/18903",0.00355137106920704,0.0140375140235549,0.00861321148363869,"KYNU/IDO1",2
"GO:0032703","negative regulation of interleukin-2 production","2/60","28/18903",0.00355137106920704,0.0140375140235549,0.00861321148363869,"PTPRC/CR1",2
"GO:0045830","positive regulation of isotype switching","2/60","28/18903",0.00355137106920704,0.0140375140235549,0.00861321148363869,"CD28/PTPRC",2
"GO:0006576","cellular biogenic amine metabolic process","3/60","97/18903",0.00362711801369362,0.0142886467206112,0.00876730280113078,"KYNU/IL4I1/IDO1",3
"GO:0060142","regulation of syncytium formation by plasma membrane fusion","2/60","30/18903",0.00407028750312505,0.0159806589887796,0.00980549656351567,"IL4R/CD53",2
"GO:0002313","mature B cell differentiation involved in immune response","2/60","31/18903",0.00434215043388471,0.0168781262712462,0.0103561692460548,"GPR183/CR1",2
"GO:0072525","pyridine-containing compound biosynthetic process","2/60","31/18903",0.00434215043388471,0.0168781262712462,0.0103561692460548,"KYNU/IDO1",2
"GO:2000316","regulation of T-helper 17 type immune response","2/60","31/18903",0.00434215043388471,0.0168781262712462,0.0103561692460548,"PRKCQ/IL12RB1",2
"GO:0002717","positive regulation of natural killer cell mediated immunity","2/60","32/18903",0.00462221208528833,0.0177894346703531,0.010915334633541,"SH2D1A/CD226",2
"GO:0043304","regulation of mast cell degranulation","2/60","32/18903",0.00462221208528833,0.0177894346703531,0.010915334633541,"IL4R/IL13RA2",2
"GO:0061099","negative regulation of protein tyrosine kinase activity","2/60","32/18903",0.00462221208528833,0.0177894346703531,0.010915334633541,"THY1/PTPRC",2
"GO:0044106","cellular amine metabolic process","3/60","108/18903",0.00490018921463094,0.018532873398824,0.0113714976680144,"KYNU/IL4I1/IDO1",3
"GO:0001782","B cell homeostasis","2/60","33/18903",0.00491041944755167,0.018532873398824,0.0113714976680144,"SASH3/IL7R",2
"GO:0002431","Fc receptor mediated stimulatory signaling pathway","2/60","33/18903",0.00491041944755167,0.018532873398824,0.0113714976680144,"PTPRC/CD226",2
"GO:0002828","regulation of type 2 immune response","2/60","33/18903",0.00491041944755167,0.018532873398824,0.0113714976680144,"IL4R/IDO1",2
"GO:0050858","negative regulation of antigen receptor-mediated signaling pathway","2/60","33/18903",0.00491041944755167,0.018532873398824,0.0113714976680144,"THY1/SH2D1A",2
"GO:0071353","cellular response to interleukin-4","2/60","33/18903",0.00491041944755167,0.018532873398824,0.0113714976680144,"IL4R/JAK3",2
"GO:0042116","macrophage activation","3/60","109/18903",0.00502761317696972,0.0189141717590179,0.0116054567158347,"IL4R/FCGR3A/PTPRC",3
"GO:0033006","regulation of mast cell activation involved in immune response","2/60","34/18903",0.00520671975502322,0.0194628182536012,0.011942098109722,"IL4R/IL13RA2",2
"GO:0036336","dendritic cell migration","2/60","34/18903",0.00520671975502322,0.0194628182536012,0.011942098109722,"GPR183/SLAMF1",2
"GO:0002719","negative regulation of cytokine production involved in immune response","2/60","35/18903",0.00551106048521047,0.0205348432092237,0.0125998768049398,"JAK3/SLAMF1",2
"GO:0009063","cellular amino acid catabolic process","3/60","113/18903",0.00555727571468853,0.0206413097974145,0.0126652031325566,"KYNU/IL4I1/IDO1",3
"GO:0010922","positive regulation of phosphatase activity","2/60","36/18903",0.00582338935780956,0.0214256778259031,0.0131464797816158,"PLEK/PTPRC",2
"GO:0050869","negative regulation of B cell activation","2/60","36/18903",0.00582338935780956,0.0214256778259031,0.0131464797816158,"CTLA4/CR1",2
"GO:0070670","response to interleukin-4","2/60","36/18903",0.00582338935780956,0.0214256778259031,0.0131464797816158,"IL4R/JAK3",2
"GO:0002832","negative regulation of response to biotic stimulus","3/60","116/18903",0.00597572261953384,0.0219172271625536,0.0134480872018547,"SERPINB9/IL4I1/CR1",3
"GO:0009308","amine metabolic process","3/60","117/18903",0.00611928614257912,0.0223736399588049,0.0137281353593387,"KYNU/IL4I1/IDO1",3
"GO:0002335","mature B cell differentiation","2/60","37/18903",0.00614365433373847,0.0223927587865234,0.0137398663899316,"GPR183/CR1",2
"GO:0002369","T cell cytokine production","2/60","38/18903",0.00647180361417393,0.0232984930110261,0.0142956115461267,"SASH3/SLAMF1",2
"GO:0002724","regulation of T cell cytokine production","2/60","38/18903",0.00647180361417393,0.0232984930110261,0.0142956115461267,"SASH3/SLAMF1",2
"GO:0042092","type 2 immune response","2/60","38/18903",0.00647180361417393,0.0232984930110261,0.0142956115461267,"IL4R/IDO1",2
"GO:0045191","regulation of isotype switching","2/60","38/18903",0.00647180361417393,0.0232984930110261,0.0142956115461267,"CD28/PTPRC",2
"GO:0045088","regulation of innate immune response","4/60","240/18903",0.00708804030534451,0.0254386722615125,0.0156087939562317,"SERPINB9/SH2D1A/CR1/CD226",4
"GO:0046627","negative regulation of insulin receptor signaling pathway","2/60","40/18903",0.00715154908881014,0.0255881114186785,0.0157004876181185,"PRKCQ/SOCS3",2
"GO:0045055","regulated exocytosis","4/60","242/18903",0.0072946221298829,0.0260204508901311,0.0159657647387039,"IL4R/FCGR3A/PLEK/IL13RA2",4
"GO:1900077","negative regulation of cellular response to insulin stimulus","2/60","42/18903",0.00786221615992568,0.027959856860526,0.0171557556265216,"PRKCQ/SOCS3",2
"GO:0050853","B cell receptor signaling pathway","3/60","130/18903",0.00817512006783616,0.0289845166041464,0.0177844717265208,"CTLA4/PTPRC/ITK",3
"GO:0072538","T-helper 17 type immune response","2/60","44/18903",0.00860339898881235,0.030410806093385,0.0186596219124504,"PRKCQ/IL12RB1",2
"GO:0000018","regulation of DNA recombination","3/60","133/18903",0.00870044218511692,0.0306611968571891,0.018813257990646,"CD28/IL7R/PTPRC",3
"GO:0002920","regulation of humoral immune response","2/60","46/18903",0.00937469548963976,0.0328395021643069,0.0201498339865563,"PTPRC/CR1",2
"GO:0010677","negative regulation of cellular carbohydrate metabolic process","2/60","46/18903",0.00937469548963976,0.0328395021643069,0.0201498339865563,"PLEK/LEPR",2
"GO:0050727","regulation of inflammatory response","5/60","414/18903",0.01001744212076,0.0349862903919079,0.0214670715675044,"SOCS3/CD28/IL2RA/PTPRC/IDO1",5
"GO:0043300","regulation of leukocyte degranulation","2/60","49/18903",0.0105872329674918,0.036866257654659,0.0226205917413202,"IL4R/IL13RA2",2
"GO:0007520","myoblast fusion","2/60","50/18903",0.0110060397484918,0.0382108798389775,0.0234456320739385,"IL4R/CD53",2
"GO:0007157","heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules","2/60","51/18903",0.0114320788809471,0.0395725807417399,0.0242811516562003,"ITGAL/CD6",2
"GO:0010543","regulation of platelet activation","2/60","52/18903",0.0118653018304735,0.0407108596529441,0.0249795828009968,"PRKCQ/PLEK",2
"GO:0043303","mast cell degranulation","2/60","52/18903",0.0118653018304735,0.0407108596529441,0.0249795828009968,"IL4R/IL13RA2",2
"GO:0045912","negative regulation of carbohydrate metabolic process","2/60","52/18903",0.0118653018304735,0.0407108596529441,0.0249795828009968,"PLEK/LEPR",2
"GO:0046718","viral entry into host cell","3/60","151/18903",0.012265406321526,0.0416838731965793,0.0255766095547162,"TNFRSF4/SLAMF1/CR1",3
"GO:0002204","somatic recombination of immunoglobulin genes involved in immune response","2/60","53/18903",0.0123056602889142,0.0416838731965793,0.0255766095547162,"CD28/PTPRC",2
"GO:0002208","somatic diversification of immunoglobulins involved in immune response","2/60","53/18903",0.0123056602889142,0.0416838731965793,0.0255766095547162,"CD28/PTPRC",2
"GO:0045190","isotype switching","2/60","53/18903",0.0123056602889142,0.0416838731965793,0.0255766095547162,"CD28/PTPRC",2
"GO:0032102","negative regulation of response to external stimulus","5/60","436/18903",0.012327025748732,0.0416838731965793,0.0255766095547162,"SOCS3/SERPINB9/IL2RA/PTPRC/CR1",5
"GO:0002279","mast cell activation involved in immune response","2/60","54/18903",0.0127531061734316,0.0430003868095532,0.0263844028826948,"IL4R/IL13RA2",2
"GO:0044409","entry into host","3/60","158/18903",0.0138466980047553,0.0465535536366773,0.028564573621425,"TNFRSF4/SLAMF1/CR1",3
"GO:0043113","receptor clustering","2/60","57/18903",0.0141374909158759,0.0473950268526499,0.0290808891709467,"THY1/ITGAL",2
